gene	count	unique_CDR3	unique_D	unique_J
IGHV1-18*01	6354	1728	37	6
IGHV1-2*04	1441	445	31	6
IGHV1-24*01	1378	330	33	6
IGHV1-3*01	3949	984	35	6
IGHV1-46*01	3514	944	36	6
IGHV1-58*01	486	126	28	6
IGHV1-69*01	9395	2117	37	6
IGHV1-69*06	6320	1344	35	6
IGHV1-69*09	4048	946	36	6
IGHV1-69-2*01	437	109	28	6
IGHV1-8*01	2728	688	37	6
IGHV2-26*01	1651	396	30	5
IGHV2-5*01	1514	323	30	6
IGHV2-5*02	950	173	25	6
IGHV2-70*01	511	120	28	6
IGHV2-70*04	443	94	21	4
IGHV3-11*01	1263	501	32	6
IGHV3-11*06	1292	472	34	6
IGHV3-13*01	250	77	22	5
IGHV3-13*05	195	66	16	5
IGHV3-15*01	1843	587	33	6
IGHV3-15*07	1331	414	32	6
IGHV3-20*01	224	83	22	5
IGHV3-21*01	9670	2733	36	6
IGHV3-23*01	19878	5585	37	6
IGHV3-23*04	5427	1465	36	6
IGHV3-30*18	6013	1977	37	6
IGHV3-30-3*01	3291	1116	35	6
IGHV3-33*01	2984	1002	35	6
IGHV3-43*02	847	273	30	6
IGHV3-48*02	1698	469	35	6
IGHV3-48*03	1905	568	35	6
IGHV3-49*04	575	214	30	5
IGHV3-49*05	436	136	27	5
IGHV3-53*01	1932	540	33	6
IGHV3-53*04	556	160	26	6
IGHV3-64*02	37	15	8	4
IGHV3-64D*06	1311	419	33	6
IGHV3-7*01	1952	594	36	6
IGHV3-7*03	1953	564	31	6
IGHV3-74*01	1186	369	32	6
IGHV3-9*01	3187	935	37	6
IGHV4-30-2*01	3284	714	35	6
IGHV4-30-4*01	1705	395	34	6
IGHV4-31*03	5435	1264	37	6
IGHV4-34*01	14987	3040	37	6
IGHV4-39*01	9911	2222	37	6
IGHV4-4*02	3689	866	36	6
IGHV4-59*01	5940	1352	37	6
IGHV4-61*01	1533	365	35	6
IGHV5-10-1*03	3887	1065	36	6
IGHV5-51*01	5372	1479	37	6
IGHV6-1*01	1654	434	32	6
IGHV7-4-1*01	192	40	16	5
