gene	count	unique_CDR3	unique_D	unique_J
IGHV1-18*01	2772	1028	35	6
IGHV1-18*04	3026	1066	35	6
IGHV1-2*02	3178	1129	36	6
IGHV1-2*04	976	366	32	6
IGHV1-24*01	2004	624	33	6
IGHV1-3*01	2302	737	36	6
IGHV1-45*02	67	25	14	5
IGHV1-46*01	4705	1663	37	6
IGHV1-58*01	693	214	28	6
IGHV1-69*01	18505	5126	37	6
IGHV1-8*01	3382	886	34	6
IGHV2-26*01	1600	508	32	6
IGHV2-5*01	2250	602	35	6
IGHV2-5*02	1158	330	31	6
IGHV2-70*01	843	268	28	6
IGHV3-11*01	1801	826	37	6
IGHV3-11*06	981	413	29	6
IGHV3-13*01	374	145	31	5
IGHV3-13*05	256	111	26	5
IGHV3-15*01	3394	1348	37	6
IGHV3-21*01	9312	3349	37	6
IGHV3-23*01	27623	10041	37	6
IGHV3-30*18	6757	2803	37	6
IGHV3-30-3*01	3926	1635	37	6
IGHV3-33*01	4474	1880	37	6
IGHV3-43*01	711	298	30	6
IGHV3-48*01	3040	1095	36	6
IGHV3-48*02	2599	940	34	6
IGHV3-49*03	977	383	32	6
IGHV3-49*05	677	268	32	6
IGHV3-53*01	4348	1525	36	6
IGHV3-64D*06	666	284	29	6
IGHV3-7*01	2943	1120	37	6
IGHV3-7*03	2838	1064	36	6
IGHV3-72*01	347	138	27	6
IGHV3-73*02	663	256	29	5
IGHV3-74*01	1608	632	35	6
IGHV3-9*01	4592	1642	37	6
IGHV4-30-2*01	1328	360	30	6
IGHV4-30-4*01	2003	609	34	6
IGHV4-31*03	6340	1947	37	6
IGHV4-34*01	16457	4301	37	6
IGHV4-39*01	10994	3260	37	6
IGHV4-4*02	1891	596	36	6
IGHV4-4*07	2084	650	35	6
IGHV4-59*01	6983	2150	37	6
IGHV4-61*01	1812	625	34	6
IGHV5-10-1*03	2270	790	35	6
IGHV5-51*01	6116	2126	37	6
IGHV6-1*01	1818	602	33	6
IGHV7-4-1*01	63	25	16	5
