gene	count	unique_CDR3	unique_D	unique_J
IGHV1-18*01	3750	1328	35	7
IGHV1-18*04	11023	2815	37	7
IGHV1-2*04	1751	670	35	7
IGHV1-2*06	4032	1470	37	7
IGHV1-24*01	3067	1064	35	7
IGHV1-3*01	4335	1575	36	7
IGHV1-46*01	2067	828	36	7
IGHV1-46*03	1054	426	32	7
IGHV1-58*01	487	163	27	6
IGHV1-69*01	7937	2972	36	7
IGHV1-69*02	2232	815	36	7
IGHV1-69*06	4705	1794	37	7
IGHV1-69-2*01	516	191	26	6
IGHV2-26*01	2705	1029	36	7
IGHV2-5*02	3913	1530	36	7
IGHV2-70*01	379	180	28	5
IGHV2-70*04	185	81	24	5
IGHV3-11*05	2184	874	35	7
IGHV3-11*06	3037	1182	35	7
IGHV3-13*04	639	253	28	7
IGHV3-13*05	509	202	27	5
IGHV3-15*01	7173	2761	37	7
IGHV3-20*01	394	162	23	7
IGHV3-21*01	13627	5158	37	7
IGHV3-23*01	29238	10950	37	7
IGHV3-30*18	4112	1708	37	7
IGHV3-33*01	8777	3459	37	7
IGHV3-43*01	758	326	33	7
IGHV3-48*01	1888	759	34	7
IGHV3-48*02	2045	863	32	7
IGHV3-49*03	925	388	32	7
IGHV3-49*05	587	253	29	7
IGHV3-53*01	1470	644	33	7
IGHV3-53*02	485	201	30	7
IGHV3-64*01	428	162	25	7
IGHV3-64D*06	3129	1181	34	7
IGHV3-66*02	1349	521	34	7
IGHV3-7*03	2172	818	36	7
IGHV3-7*04	812	345	31	7
IGHV3-72*01	273	107	25	6
IGHV3-73*01	536	206	30	7
IGHV3-73*02	490	196	29	6
IGHV3-74*01	1585	609	35	7
IGHV4-30-2*01	795	276	27	7
IGHV4-31*03	4314	1681	36	7
IGHV4-34*01	17788	6140	37	7
IGHV4-39*01	12362	4391	37	7
IGHV4-4*02	4123	1639	37	7
IGHV4-59*01	4691	1758	37	7
IGHV4-61*02	4145	1597	37	7
IGHV5-10-1*01	1938	895	35	7
IGHV5-10-1*03	5270	2105	37	7
IGHV5-51*01	3430	1339	37	7
IGHV5-51*03	1374	528	34	7
IGHV6-1*01	4423	767	36	7
IGHV7-4-1*02	2190	832	35	7
