gene	count	unique_CDR3	unique_D	unique_J
IGHV1-18*01	5798	2035	37	7
IGHV1-2*04	1931	624	33	7
IGHV1-24*01	899	306	29	7
IGHV1-3*01	3393	1157	32	7
IGHV1-45*02	58	17	11	4
IGHV1-46*01	2380	793	35	7
IGHV1-46*03	1320	452	31	6
IGHV1-58*01	1304	225	27	7
IGHV1-69*01	13200	4260	36	7
IGHV1-69*06	4978	1578	35	7
IGHV1-69*09	3923	1234	34	7
IGHV1-69-2*01	637	239	26	6
IGHV1-8*01	2783	929	34	7
IGHV2-26*01	1358	481	34	6
IGHV2-5*02	3180	1064	35	7
IGHV2-70*01	715	279	28	6
IGHV2-70*04	491	201	26	7
IGHV3-11*01	1979	687	34	7
IGHV3-11*06	1271	418	35	7
IGHV3-13*01	491	171	25	6
IGHV3-13*05	225	81	21	6
IGHV3-15*01	4066	1331	36	7
IGHV3-20*01	632	193	32	6
IGHV3-21*01	10410	3385	37	7
IGHV3-23*01	22329	7211	37	7
IGHV3-30*04	5599	2120	37	7
IGHV3-30*18	8958	3253	37	7
IGHV3-30-3*01	11489	3838	37	7
IGHV3-33*01	8552	2894	37	7
IGHV3-43*01	581	236	28	7
IGHV3-48*01	1589	565	36	7
IGHV3-48*02	1498	565	34	7
IGHV3-49*03	488	191	29	7
IGHV3-49*05	646	225	29	5
IGHV3-53*01	1546	531	33	7
IGHV3-64*05_S2482	1477	493	32	7
IGHV3-7*01	2221	669	34	7
IGHV3-7*03	1774	638	32	7
IGHV3-72*01	195	74	19	7
IGHV3-73*02	1949	592	33	7
IGHV3-74*01	1229	446	32	7
IGHV3-9*01	5078	1641	36	6
IGHV4-28*01	35	10	7	4
IGHV4-30-2*01	2007	654	34	7
IGHV4-30-4*01	2157	786	36	7
IGHV4-31*03	6466	2087	37	7
IGHV4-34*01	7420	2177	37	7
IGHV4-39*01	11235	3478	37	7
IGHV4-4*02	3976	1328	37	7
IGHV4-59*01	3835	1348	35	7
IGHV4-61*01	903	325	33	7
IGHV5-10-1*03	2958	983	33	6
IGHV5-51*01	3496	1181	35	7
IGHV5-51*03	1454	511	30	7
IGHV6-1*01	1123	380	35	7
IGHV7-4-1*01	91	28	11	6
